chr	start	end	co_100k	cM_Mb	a$cM_Mb
Athal_NC_003076.8	15600000	15700000	18	18	18
Athal_NC_003076.8	15700000	15800000	23	23	23
Athal_NC_003076.8	15800000	15900000	34	34	34
Athal_NC_003076.8	15900000	16000000	21	21	21
Athal_NC_003076.8	16000000	16100000	23	23	23
Athal_NC_003076.8	16100000	16200000	20	20	20
Athal_NC_003076.8	16200000	16300000	22	22	22
Athal_NC_003076.8	16300000	16400000	11	11	11
Athal_NC_003076.8	16400000	16500000	15	15	15
Athal_NC_003076.8	16500000	16600000	15	15	15
Athal_NC_003076.8	16600000	16700000	26	26	26
Athal_NC_003076.8	16700000	16800000	15	15	15
Athal_NC_003076.8	16800000	16900000	26	26	26
Athal_NC_003076.8	16900000	17000000	10	10	10
Athal_NC_003076.8	17000000	17100000	9	9	9
Athal_NC_003076.8	17100000	17200000	21	21	21
Athal_NC_003076.8	17200000	17300000	10	10	10
Athal_NC_003076.8	17300000	17400000	7	7	7
Athal_NC_003076.8	17400000	17500000	7	7	7
Athal_NC_003076.8	17500000	17600000	19	19	19
Athal_NC_003076.8	17600000	17700000	11	11	11
Athal_NC_003076.8	17700000	17800000	19	19	19
Athal_NC_003076.8	17800000	17900000	17	17	17
Athal_NC_003076.8	17900000	18000000	30	30	30
Athal_NC_003076.8	18000000	18100000	23	23	23
Athal_NC_003076.8	18100000	18200000	17	17	17
Athal_NC_003076.8	18200000	18300000	14	14	14
Athal_NC_003076.8	18300000	18400000	18	18	18
Athal_NC_003076.8	18400000	18500000	5	5	5
Athal_NC_003076.8	18500000	18600000	25	25	25
Athal_NC_003076.8	18600000	18700000	18	18	18
Athal_NC_003076.8	18700000	18800000	22	22	22
Athal_NC_003076.8	18800000	18900000	11	11	11
Athal_NC_003076.8	18900000	19000000	26	26	26
Athal_NC_003076.8	19000000	19100000	7	7	7
Athal_NC_003076.8	19100000	19200000	20	20	20
Athal_NC_003076.8	19200000	19300000	7	7	7
Athal_NC_003076.8	19300000	19400000	6	6	6
Athal_NC_003076.8	19400000	19500000	5	5	5
Athal_NC_003076.8	19500000	19600000	10	10	10
Athal_NC_003076.8	19600000	19700000	3	3	3
Athal_NC_003076.8	19700000	19800000	4	4	4
Athal_NC_003076.8	19800000	19900000	8	8	8
Athal_NC_003076.8	19900000	20000000	15	15	15
Athal_NC_003076.8	20000000	20100000	11	11	11
Athal_NC_003076.8	20100000	20200000	4	4	4
Athal_NC_003076.8	20200000	20300000	7	7	7
Athal_NC_003076.8	20300000	20400000	3	3	3
Athal_NC_003076.8	20400000	20500000	10	10	10
Athal_NC_003076.8	20500000	20600000	10	10	10
Athal_NC_003076.8	20600000	20700000	12	12	12
Athal_NC_003076.8	20700000	20800000	13	13	13
Athal_NC_003076.8	20800000	20900000	2	2	2
Athal_NC_003076.8	20900000	21000000	18	18	18
Athal_NC_003076.8	21000000	21100000	11	11	11
Athal_NC_003076.8	21100000	21200000	27	27	27
Athal_NC_003076.8	21200000	21300000	17	17	17
Athal_NC_003076.8	21300000	21400000	27	27	27
Athal_NC_003076.8	21400000	21500000	19	19	19
Athal_NC_003076.8	21500000	21600000	8	8	8
Athal_NC_003076.8	21600000	21700000	28	28	28
Athal_NC_003076.8	21700000	21800000	16	16	16
Athal_NC_003076.8	21800000	21900000	28	28	28
Athal_NC_003076.8	21900000	22000000	22	22	22
Athal_NC_003076.8	22000000	22100000	18	18	18
Athal_NC_003076.8	22100000	22200000	27	27	27
Athal_NC_003076.8	22200000	22300000	17	17	17
Athal_NC_003076.8	22300000	22400000	11	11	11
Athal_NC_003076.8	22400000	22500000	5	5	5
Athal_NC_003076.8	22500000	22600000	15	15	15
Athal_NC_003076.8	22600000	22700000	8	8	8
Athal_NC_003076.8	22700000	22800000	10	10	10
Athal_NC_003076.8	22800000	22900000	14	14	14
Athal_NC_003076.8	22900000	23000000	11	11	11
Athal_NC_003076.8	23000000	23100000	23	23	23
Athal_NC_003076.8	23100000	23200000	8	8	8
Athal_NC_003076.8	23200000	23300000	15	15	15
Athal_NC_003076.8	23300000	23400000	9	9	9
Athal_NC_003076.8	23400000	23500000	6	6	6
Athal_NC_003076.8	23500000	23600000	0	0	0
Athal_NC_003076.8	23600000	23700000	13	13	13
Athal_NC_003076.8	23700000	23800000	12	12	12
Athal_NC_003076.8	23800000	23900000	8	8	8
Athal_NC_003076.8	23900000	24000000	15	15	15
Athal_NC_003076.8	24000000	24100000	8	8	8
Athal_NC_003076.8	24100000	24200000	10	10	10
Athal_NC_003076.8	24200000	24300000	9	9	9
Athal_NC_003076.8	24300000	24400000	21	21	21
Athal_NC_003076.8	24400000	24500000	9	9	9
Athal_NC_003076.8	24500000	24600000	5	5	5
Athal_NC_003076.8	24600000	24700000	10	10	10
Athal_NC_003076.8	24700000	24800000	17	17	17
Athal_NC_003076.8	24800000	24900000	6	6	6
Athal_NC_003076.8	24900000	25000000	23	23	23
Athal_NC_003076.8	25000000	25100000	17	17	17
Athal_NC_003076.8	25100000	25200000	18	18	18
Athal_NC_003076.8	25200000	25300000	11	11	11
Athal_NC_003076.8	25300000	25400000	9	9	9
Athal_NC_003076.8	25400000	25500000	23	23	23
Athal_NC_003076.8	25500000	25600000	8	8	8
Athal_NC_003076.8	25600000	25700000	14	14	14
Athal_NC_003076.8	25700000	25800000	20	20	20
Athal_NC_003076.8	25800000	25900000	26	26	26
Athal_NC_003076.8	25900000	26000000	26	26	26
Athal_NC_003076.8	26000000	26100000	27	27	27
Athal_NC_003076.8	26100000	26200000	19	19	19
Athal_NC_003076.8	26200000	26300000	42	42	42
Athal_NC_003076.8	26300000	26400000	22	22	22
Athal_NC_003076.8	26400000	26500000	14	14	14
Athal_NC_003076.8	26500000	26600000	28	28	28
Athal_NC_003076.8	26600000	26700000	16	16	16
Athal_NC_003076.8	26700000	26800000	17	17	17
Athal_NC_003076.8	26800000	26900000	16	16	16
Athal_NC_003076.8	26900000	27000000	6	6	6
