ID	GENE_COORD	TAIR	GENE_NAME	OG
gene-AT5G45860	Athal_NC_003076.8:18603990-18604677	AT5G45860	PYL11	OG0008061
gene-AT5G45870	Athal_NC_003076.8:18606398-18607111	AT5G45870	PYL12	OG0008061
gene-AT5G45875	Athal_NC_003076.8:18608391-18608933	AT5G45875	SCRL27	OG0019420
gene-AT5G45880	Athal_NC_003076.8:18609628-18611166	AT5G45880	AT5G45880	OG0002332
gene-AT5G45890	Athal_NC_003076.8:18613239-18614963	AT5G45890	SAG12	OG0000085
gene-AT5G45900	Athal_NC_003076.8:18615175-18618597	AT5G45900	APG7	OG0009130
gene-AT5G45910	Athal_NC_003076.8:18620299-18622301	AT5G45910	AT5G45910	OG0000079
gene-AT5G45920	Athal_NC_003076.8:18622756-18625697	AT5G45920	AT5G45920	OG0009131
gene-AT5G45930	Athal_NC_003076.8:18627950-18629697	AT5G45930	CHLI2	OG0004835
gene-AT5G45940	Athal_NC_003076.8:18629562-18630706	AT5G45940	NUDT11	OG0001614
gene-AT5G45950	Athal_NC_003076.8:18634041-18636720	AT5G45950	AT5G45950	OG0009132
gene-AT5G45960	Athal_NC_003076.8:18636928-18640401	AT5G45960	AT5G45960	OG0007071
gene-AT5G45970	Athal_NC_003076.8:18643540-18645976	AT5G45970	RAC2	OG0000119
gene-AT5G45980	Athal_NC_003076.8:18648886-18650836	AT5G45980	WOX8	OG0004836
gene-AT5G45990	Athal_NC_003076.8:18651265-18654075	AT5G45990	AT5G45990	OG0002770
gene-AT5G46000	Athal_NC_003076.8:18654196-18656376	AT5G46000	AT5G46000	OG0015282
gene-AT5G46010	Athal_NC_003076.8:18660539-18661268	AT5G46010	AT5G46010	OG0024738
gene-AT5G46020	Athal_NC_003076.8:18662805-18664908	AT5G46020	AT5G46020	OG0006482
gene-AT5G46030	Athal_NC_003076.8:18670051-18671461	AT5G46030	AT5G46030	OG0007181
gene-AT5G46040	Athal_NC_003076.8:18671397-18673551	AT5G46040	AT5G46040	OG0003167
gene-AT5G46050	Athal_NC_003076.8:18674968-18679191	AT5G46050	PTR3	OG0003167
gene-AT5G46060	Athal_NC_003076.8:18681326-18682708	AT5G46060	AT5G46060	OG0001896
gene-AT5G46070	Athal_NC_003076.8:18683319-18688822	AT5G46070	AT5G46070	OG0005306
gene-AT5G46080	Athal_NC_003076.8:18689361-18690857	AT5G46080	AT5G46080	OG0011632
gene-AT5G46090	Athal_NC_003076.8:18693485-18694129	AT5G46090	AT5G46090	OG0001756
gene-AT5G46100	Athal_NC_003076.8:18694316-18695856	AT5G46100	AT5G46100	OG0008062
gene-AT5G46110	Athal_NC_003076.8:18697235-18700900	AT5G46110	APE2	OG0004374
gene-AT5G46115	Athal_NC_003076.8:18701246-18701852	AT5G46115	AT5G46115	NA
gene-AT5G46130	Athal_NC_003076.8:18702914-18704484	AT5G46130	AT5G46130	OG0000065
gene-AT5G46140	Athal_NC_003076.8:18704997-18706708	AT5G46140	AT5G46140	OG0000065
gene-AT5G46150	Athal_NC_003076.8:18707546-18710722	AT5G46150	AT5G46150	OG0013643
gene-AT5G46160	Athal_NC_003076.8:18710851-18712559	AT5G46160	AT5G46160	OG0005897
gene-AT5G46170	Athal_NC_003076.8:18714864-18717031	AT5G46170	AT5G46170	OG0002912
gene-AT5G46180	Athal_NC_003076.8:18718417-18721744	AT5G46180	DELTA-OAT	OG0011633
gene-AT5G46190	Athal_NC_003076.8:18721752-18726249	AT5G46190	AT5G46190	OG0009133
gene-AT5G46200	Athal_NC_003076.8:18727802-18730331	AT5G46200	AT5G46200	OG0021485
gene-AT5G46210	Athal_NC_003076.8:18731371-18736815	AT5G46210	CUL4	OG0007182
gene-AT5G46220	Athal_NC_003076.8:18738697-18742126	AT5G46220	AT5G46220	OG0010333
gene-AT5G46230	Athal_NC_003076.8:18742272-18743077	AT5G46230	AT5G46230	OG0008063
gene-AT5G46240	Athal_NC_003076.8:18743510-18747406	AT5G46240	KAT1	OG0005307
gene-AT5G46250	Athal_NC_003076.8:18755280-18758333	AT5G46250	LARP6a	OG0011634
gene-AT5G46260	Athal_NC_003076.8:18758699-18763503	AT5G46260	AT5G46260	OG0000537
gene-AT5G46270	Athal_NC_003076.8:18763972-18768992	AT5G46270	AT5G46270	OG0000537
gene-AT5G46280	Athal_NC_003076.8:18769649-18773703	AT5G46280	MCM3	OG0010356
gene-AT5G46290	Athal_NC_003076.8:18774056-18776839	AT5G46290	KASI	OG0003414
gene-AT5G46295	Athal_NC_003076.8:18779790-18780205	AT5G46295	AT5G46295	OG0004582
gene-AT5G46297	Athal_NC_003076.8:18781172-18781838	AT5G46297	AT5G46297	OG0017187
gene-AT5G46300	Athal_NC_003076.8:18783585-18784786	AT5G46300	AT5G46300	OG0018295
gene-AT5G46310	Athal_NC_003076.8:18785672-18786956	AT5G46310	AT5G46310	OG0023998
gene-AT5G46320	Athal_NC_003076.8:18788086-18788910	AT5G46320	AT5G46320	OG0020905
gene-AT5G46330	Athal_NC_003076.8:18791575-18795908	AT5G46330	FLS2	OG0005898
gene-AT5G46340	Athal_NC_003076.8:18795737-18800122	AT5G46340	RWA1	OG0001499
gene-AT5G46350	Athal_NC_003076.8:18801164-18804056	AT5G46350	WRKY8	OG0018297
gene-AT5G46360	Athal_NC_003076.8:18806563-18808212	AT5G46360	KCO3	OG0001615
gene-AT5G46370	Athal_NC_003076.8:18809496-18811870	AT5G46370	KCO2	OG0001615
gene-AT5G46380	Athal_NC_003076.8:18813088-18816431	AT5G46380	AT5G46380	OG0014712
gene-AT5G46390	Athal_NC_003076.8:18816585-18819462	AT5G46390	AT5G46390	OG0011635
gene-AT5G46400	Athal_NC_003076.8:18819933-18824782	AT5G46400	PRP39-2	OG0003168
gene-AT5G46410	Athal_NC_003076.8:18825103-18829624	AT5G46410	SSP4	OG0003169
gene-AT5G46420	Athal_NC_003076.8:18829436-18833060	AT5G46420	AT5G46420	OG0011636
gene-AT5G46430	Athal_NC_003076.8:18833240-18834632	AT5G46430	AT5G46430	OG0001917
gene-AT5G46450	Athal_NC_003076.8:18835605-18840058	AT5G46450	AT5G46450	OG0000537
gene-AT5G46460	Athal_NC_003076.8:18840196-18842479	AT5G46460	AT5G46460	OG0012736
gene-AT5G46470	Athal_NC_003076.8:18842553-18849741	AT5G46470	RPS6	OG0000537
gene-AT5G46490	Athal_NC_003076.8:18850645-18853896	AT5G46490	AT5G46490	OG0000537
gene-AT5G46500	Athal_NC_003076.8:18855955-18858552	AT5G46500	AT5G46500	OG0000537
gene-AT5G46510	Athal_NC_003076.8:18860234-18867015	AT5G46510	AT5G46510	OG0000537
gene-AT5G46520	Athal_NC_003076.8:18867616-18872468	AT5G46520	AT5G46520	OG0000537
gene-AT5G46530	Athal_NC_003076.8:18875382-18876928	AT5G46530	AT5G46530	OG0004850
gene-AT5G46540	Athal_NC_003076.8:18877090-18882462	AT5G46540	ABCB7	OG0000235
gene-AT5G46550	Athal_NC_003076.8:18884218-18886960	AT5G46550	AT5G46550	OG0006483
gene-AT5G46560	Athal_NC_003076.8:18887987-18890517	AT5G46560	AT5G46560	OG0011637
gene-AT5G46570	Athal_NC_003076.8:18894378-18897406	AT5G46570	BSK2	OG0005899
gene-AT5G46580	Athal_NC_003076.8:18897445-18899646	AT5G46580	AT5G46580	OG0010357
gene-AT5G46590	Athal_NC_003076.8:18905258-18907052	AT5G46590	NAC096	OG0004896
gene-AT5G46600	Athal_NC_003076.8:18907639-18910838	AT5G46600	AT5G46600	OG0002018
gene-AT5G46610	Athal_NC_003076.8:18912667-18915779	AT5G46610	AT5G46610	OG0002018
gene-AT5G46620	Athal_NC_003076.8:18917570-18919442	AT5G46620	AT5G46620	OG0004838
gene-AT5G46630	Athal_NC_003076.8:18920334-18923551	AT5G46630	AT5G46630	OG0008065
gene-AT5G46640	Athal_NC_003076.8:18924429-18926984	AT5G46640	AT5G46640	OG0000943
gene-AT5G46650	Athal_NC_003076.8:18930246-18931312	AT5G46650	AT5G46650	OG0006484
gene-AT5G46660	Athal_NC_003076.8:18932181-18933391	AT5G46660	AT5G46660	OG0017175
gene-AT5G46670	Athal_NC_003076.8:18938847-18940166	AT5G46670	AT5G46670	OG0003710
gene-AT5G46680	Athal_NC_003076.8:18940903-18942672	AT5G46680	AT5G46680	OG0008066
gene-AT5G46690	Athal_NC_003076.8:18945543-18947637	AT5G46690	bHLH071	OG0005900
gene-AT5G46700	Athal_NC_003076.8:18950843-18953127	AT5G46700	TRN2	OG0007183
gene-AT5G46710	Athal_NC_003076.8:18952603-18954692	AT5G46710	AT5G46710	OG0018299
gene-AT5G46720	Athal_NC_003076.8:18959094-18959852	AT5G46720	AT5G46720	OG0002913
gene-AT5G46730	Athal_NC_003076.8:18963977-18965222	AT5G46730	AT5G46730	OG0018300
gene-AT5G46740	Athal_NC_003076.8:18965271-18968798	AT5G46740	UBP21	OG0002156
gene-AT5G46750	Athal_NC_003076.8:18969736-18971981	AT5G46750	AGD9	OG0002914
gene-AT5G46760	Athal_NC_003076.8:18974022-18976590	AT5G46760	MYC3	OG0002333
gene-AT5G46770	Athal_NC_003076.8:18977399-18978246	AT5G46770	AT5G46770	OG0006485
gene-AT5G46780	Athal_NC_003076.8:18978953-18980183	AT5G46780	AT5G46780	OG0001244
gene-AT5G46790	Athal_NC_003076.8:18983540-18984917	AT5G46790	PYL1	OG0004375
gene-AT5G46795	Athal_NC_003076.8:18986936-18988197	AT5G46795	MSP2	OG0013644
gene-AT5G46800	Athal_NC_003076.8:18988588-18990867	AT5G46800	BOU	OG0005308
gene-AT5G46810	Athal_NC_003076.8:18991164-18993376	AT5G46810	AT5G46810	OG0016913
gene-AT5G46820	Athal_NC_003076.8:18993633-18996672	AT5G46820	AT5G46820	OG0016913
gene-AT5G46830	Athal_NC_003076.8:19002564-19004384	AT5G46830	NIG1	OG0018301
gene-AT5G46840	Athal_NC_003076.8:19005547-19007770	AT5G46840	AT5G46840	OG0008067
gene-AT5G46850	Athal_NC_003076.8:19010608-19012038	AT5G46850	AT5G46850	OG0009134
gene-AT5G46860	Athal_NC_003076.8:19012021-19014110	AT5G46860	VAM3	OG0000977
gene-AT5G46870	Athal_NC_003076.8:19015233-19017247	AT5G46870	AT5G46870	OG0002321
gene-AT5G46871	Athal_NC_003076.8:19017942-19018710	AT5G46871	AT5G46871	OG0018302
gene-AT5G46873	Athal_NC_003076.8:19021183-19021594	AT5G46873	AT5G46873	OG0019421
gene-AT5G46874	Athal_NC_003076.8:19022383-19022699	AT5G46874	AT5G46874	OG0018302
gene-AT5G46877	Athal_NC_003076.8:19025860-19026294	AT5G46877	AT5G46877	OG0019421
gene-AT5G46880	Athal_NC_003076.8:19030844-19035959	AT5G46880	HB-7	OG0008068
gene-AT5G46890	Athal_NC_003076.8:19036296-19036938	AT5G46890	AT5G46890	OG0014201
gene-AT5G46900	Athal_NC_003076.8:19039701-19040456	AT5G46900	AT5G46900	OG0014201
gene-AT5G46910	Athal_NC_003076.8:19046339-19051379	AT5G46910	AT5G46910	OG0004839
gene-AT5G46915	Athal_NC_003076.8:19051417-19053200	AT5G46915	AT5G46915	OG0002152
gene-AT5G46920	Athal_NC_003076.8:19053472-19056073	AT5G46920	AT5G46920	OG0012920
gene-AT5G46930	Athal_NC_003076.8:19056505-19057243	AT5G46930	AT5G46930	OG0000509
gene-AT5G46940	Athal_NC_003076.8:19058031-19058814	AT5G46940	AT5G46940	OG0000509
gene-AT5G46950	Athal_NC_003076.8:19059472-19060121	AT5G46950	AT5G46950	OG0000509
gene-AT5G46960	Athal_NC_003076.8:19062146-19062814	AT5G46960	AT5G46960	OG0000509
gene-AT5G46970	Athal_NC_003076.8:19063755-19064418	AT5G46970	AT5G46970	OG0000509
gene-AT5G46980	Athal_NC_003076.8:19065311-19066007	AT5G46980	AT5G46980	OG0024739
gene-AT5G46990	Athal_NC_003076.8:19067455-19068292	AT5G46990	AT5G46990	OG0000509
gene-AT5G47000	Athal_NC_003076.8:19068803-19070333	AT5G47000	AT5G47000	OG0003393
gene-AT5G47010	Athal_NC_003076.8:19071824-19079453	AT5G47010	LBA1	OG0008069
gene-AT5G47020	Athal_NC_003076.8:19081458-19090104	AT5G47020	AT5G47020	OG0009135
gene-AT5G47030	Athal_NC_003076.8:19090150-19092416	AT5G47030	AT5G47030	OG0005901
gene-AT5G47040	Athal_NC_003076.8:19092858-19098772	AT5G47040	LON2	OG0007184
gene-AT5G47050	Athal_NC_003076.8:19106297-19108348	AT5G47050	AT5G47050	OG0002896
gene-AT5G47060	Athal_NC_003076.8:19116785-19118744	AT5G47060	AT5G47060	OG0004806
gene-AT5G47070	Athal_NC_003076.8:19118465-19121103	AT5G47070	AT5G47070	OG0001747
gene-AT5G47075	Athal_NC_003076.8:19122503-19122866	AT5G47075	LCR20	OG0015489
gene-AT5G47077	Athal_NC_003076.8:19123506-19123779	AT5G47077	LCR6	OG0015489
gene-AT5G47080	Athal_NC_003076.8:19124563-19126694	AT5G47080	CKB1	OG0001172
gene-AT5G47090	Athal_NC_003076.8:19127187-19129605	AT5G47090	AT5G47090	OG0011638
gene-AT5G47100	Athal_NC_003076.8:19129640-19132304	AT5G47100	CBL9	OG0005282
gene-AT5G47110	Athal_NC_003076.8:19133986-19135414	AT5G47110	LIL3:2	OG0003669
gene-AT5G47120	Athal_NC_003076.8:19135952-19138025	AT5G47120	BI1	OG0003670
gene-AT5G47130	Athal_NC_003076.8:19138840-19142284	AT5G47130	AT5G47130	OG0024000
gene-AT5G47140	Athal_NC_003076.8:19144601-19147657	AT5G47140	GATA27	OG0003671
gene-AT5G47150	Athal_NC_003076.8:19149938-19151913	AT5G47150	AT5G47150	OG0001318
gene-AT5G47160	Athal_NC_003076.8:19155976-19158249	AT5G47160	AT5G47160	OG0001318
gene-AT5G47170	Athal_NC_003076.8:19158351-19159091	AT5G47170	AT5G47170	OG0015972
gene-AT5G47175	Athal_NC_003076.8:19160013-19160456	AT5G47175	LCR3	OG0015489
gene-AT5G47180	Athal_NC_003076.8:19161009-19163980	AT5G47180	AT5G47180	OG0006488
gene-AT5G47190	Athal_NC_003076.8:19164184-19166135	AT5G47190	AT5G47190	OG0007156
gene-AT5G47200	Athal_NC_003076.8:19166859-19169093	AT5G47200	RAB1A	OG0000581
gene-AT5G47210	Athal_NC_003076.8:19168941-19171263	AT5G47210	AT5G47210	OG0001107
gene-AT5G47220	Athal_NC_003076.8:19171643-19172956	AT5G47220	ERF2	OG0002005
gene-AT5G47229	Athal_NC_003076.8:19179694-19179849	AT5G47229	AT5G47229	NA
gene-AT5G47230	Athal_NC_003076.8:19179881-19181182	AT5G47230	ERF5	OG0002322
gene-AT5G47240	Athal_NC_003076.8:19183523-19185644	AT5G47240	NUDT8	OG0005309
gene-AT5G47250	Athal_NC_003076.8:19185698-19188885	AT5G47250	AT5G47250	OG0016916
gene-AT5G47260	Athal_NC_003076.8:19189411-19192516	AT5G47260	AT5G47260	OG0000074
gene-AT5G47280	Athal_NC_003076.8:19193157-19195559	AT5G47280	ADR1-L3	OG0002511
gene-AT5G47290	Athal_NC_003076.8:19197040-19197431	AT5G47290	AT5G47290	OG0024002
gene-AT5G47300	Athal_NC_003076.8:19198125-19199375	AT5G47300	AT5G47300	OG0000313
gene-AT5G47310	Athal_NC_003076.8:19200731-19202972	AT5G47310	AT5G47310	OG0005283
gene-AT5G47320	Athal_NC_003076.8:19203052-19205285	AT5G47320	RPS19	OG0009137
gene-AT5G47330	Athal_NC_003076.8:19206829-19208998	AT5G47330	AT5G47330	OG0001500
gene-AT5G47340	Athal_NC_003076.8:19209507-19211134	AT5G47340	AT5G47340	OG0001500
gene-AT5G47350	Athal_NC_003076.8:19212665-19214453	AT5G47350	AT5G47350	OG0020908
gene-AT5G47360	Athal_NC_003076.8:19214445-19215878	AT5G47360	AT5G47360	OG0012921
gene-AT5G47370	Athal_NC_003076.8:19216271-19218007	AT5G47370	HAT2	OG0001608
gene-AT5G47380	Athal_NC_003076.8:19221274-19224652	AT5G47380	AT5G47380	OG0011639
gene-AT5G47390	Athal_NC_003076.8:19226769-19228895	AT5G47390	AT5G47390	OG0009138
gene-AT5G47400	Athal_NC_003076.8:19229162-19232743	AT5G47400	AT5G47400	OG0010360
gene-AT5G47420	Athal_NC_003076.8:19232784-19235066	AT5G47420	AT5G47420	OG0005869
gene-AT5G47430	Athal_NC_003076.8:19235555-19241263	AT5G47430	AT5G47430	OG0003394
gene-AT5G47435	Athal_NC_003076.8:19241672-19243988	AT5G47435	AT5G47435	OG0004807
gene-AT5G47440	Athal_NC_003076.8:19243531-19245648	AT5G47440	AT5G47440	OG0003395
gene-AT5G47450	Athal_NC_003076.8:19248249-19249622	AT5G47450	TIP2;3	OG0003153
gene-AT5G47455	Athal_NC_003076.8:19250709-19252491	AT5G47455	AT5G47455	OG0001882
gene-AT5G47460	Athal_NC_003076.8:19252463-19254336	AT5G47460	AT5G47460	OG0014713
gene-AT5G47470	Athal_NC_003076.8:19254403-19256810	AT5G47470	UMAMIT7	OG0004810
gene-AT5G47480	Athal_NC_003076.8:19257027-19263425	AT5G47480	AT5G47480	OG0002507
gene-AT5G47490	Athal_NC_003076.8:19263826-19270899	AT5G47490	AT5G47490	OG0002507
gene-AT5G47500	Athal_NC_003076.8:19270944-19272892	AT5G47500	PME5	OG0012922
gene-AT5G47510	Athal_NC_003076.8:19274853-19277383	AT5G47510	AT5G47510	OG0011640
gene-AT5G47520	Athal_NC_003076.8:19277230-19279747	AT5G47520	RABA5a	OG0005902
gene-AT5G47530	Athal_NC_003076.8:19281374-19283061	AT5G47530	AT5G47530	OG0000637
gene-AT5G47540	Athal_NC_003076.8:19283029-19285758	AT5G47540	AT5G47540	OG0002495
gene-AT5G47550	Athal_NC_003076.8:19286314-19287179	AT5G47550	AT5G47550	OG0001319
gene-AT5G47560	Athal_NC_003076.8:19287369-19291103	AT5G47560	TDT	OG0006489
gene-AT5G47570	Athal_NC_003076.8:19292587-19294800	AT5G47570	AT5G47570	OG0011641
gene-AT5G47580	Athal_NC_003076.8:19294813-19297424	AT5G47580	ASG7	OG0002897
gene-AT5G47590	Athal_NC_003076.8:19297614-19299174	AT5G47590	AT5G47590	OG0015973
gene-AT5G47600	Athal_NC_003076.8:19299717-19300503	AT5G47600	AT5G47600	OG0020909
gene-AT5G47610	Athal_NC_003076.8:19301130-19302117	AT5G47610	AT5G47610	OG0008026
gene-AT5G47620	Athal_NC_003076.8:19302270-19304950	AT5G47620	AT5G47620	OG0000510
gene-AT5G47630	Athal_NC_003076.8:19306139-19307094	AT5G47630	mtACP3	OG0008070
gene-AT5G47635	Athal_NC_003076.8:19307048-19308009	AT5G47635	AT5G47635	OG0002898
gene-AT5G47640	Athal_NC_003076.8:19309227-19310272	AT5G47640	NF-YB2	OG0002508
gene-AT5G47650	Athal_NC_003076.8:19310192-19312595	AT5G47650	NUDT2	OG0000744
gene-AT5G47660	Athal_NC_003076.8:19312747-19314893	AT5G47660	AT5G47660	OG0011642
gene-AT5G47670	Athal_NC_003076.8:19314778-19316169	AT5G47670	NF-YB6	OG0005903
gene-AT5G47680	Athal_NC_003076.8:19316046-19317539	AT5G47680	TRM10	OG0009139
gene-AT5G47690	Athal_NC_003076.8:19317668-19327431	AT5G47690	AT5G47690	OG0008071
gene-AT5G47700	Athal_NC_003076.8:19327566-19328986	AT5G47700	AT5G47700	OG0001245
gene-AT5G47710	Athal_NC_003076.8:19329544-19331405	AT5G47710	AT5G47710	OG0009401
gene-AT5G47720	Athal_NC_003076.8:19331547-19334427	AT5G47720	AACT1	OG0003245
gene-AT5G47730	Athal_NC_003076.8:19334250-19337148	AT5G47730	AT5G47730	OG0002389
gene-AT5G47740	Athal_NC_003076.8:19338511-19339775	AT5G47740	AT5G47740	OG0008299
gene-AT5G47750	Athal_NC_003076.8:19339703-19342410	AT5G47750	D6PKL2	OG0000364
gene-AT5G47760	Athal_NC_003076.8:19342405-19345127	AT5G47760	PGLP2	OG0009402
gene-AT5G47770	Athal_NC_003076.8:19345110-19347677	AT5G47770	FPS1	OG0003154
gene-AT5G47780	Athal_NC_003076.8:19347874-19350976	AT5G47780	GAUT4	OG0008569
gene-AT5G47790	Athal_NC_003076.8:19351292-19353495	AT5G47790	AT5G47790	OG0010358
gene-AT5G47800	Athal_NC_003076.8:19353642-19356448	AT5G47800	AT5G47800	OG0006486
gene-AT5G47810	Athal_NC_003076.8:19356292-19358125	AT5G47810	PFK2	OG0012574
gene-AT5G47820	Athal_NC_003076.8:19366154-19372815	AT5G47820	FRA1	OG0006128
gene-AT5G47830	Athal_NC_003076.8:19372821-19374693	AT5G47830	AT5G47830	OG0008440
gene-AT5G47840	Athal_NC_003076.8:19375317-19378465	AT5G47840	AMK2	OG0009545
gene-AT5G47850	Athal_NC_003076.8:19378669-19381190	AT5G47850	CCR4	OG0007479
gene-AT5G47860	Athal_NC_003076.8:19381519-19384422	AT5G47860	AT5G47860	OG0009544
gene-AT5G47870	Athal_NC_003076.8:19384368-19385869	AT5G47870	RAD52-2	OG0006749
gene-AT5G47880	Athal_NC_003076.8:19386045-19388587	AT5G47880	ERF1-1	OG0002084
gene-AT5G47890	Athal_NC_003076.8:19388704-19390937	AT5G47890	AT5G47890	OG0008439
gene-AT5G47900	Athal_NC_003076.8:19392166-19395287	AT5G47900	AT5G47900	OG0003541
gene-AT5G47910	Athal_NC_003076.8:19397041-19402061	AT5G47910	RBOHD	OG0000647
gene-AT5G47920	Athal_NC_003076.8:19403171-19404147	AT5G47920	AT5G47920	OG0005570
gene-AT5G47930	Athal_NC_003076.8:19406080-19407449	AT5G47930	AT5G47930	OG0001444
gene-AT5G47940	Athal_NC_003076.8:19409242-19412077	AT5G47940	AT5G47940	OG0008438
gene-AT5G47950	Athal_NC_003076.8:19417020-19418657	AT5G47950	AT5G47950	OG0006524
gene-AT5G47960	Athal_NC_003076.8:19421340-19422533	AT5G47960	RABA4C	OG0003324
gene-AT5G47970	Athal_NC_003076.8:19422203-19425811	AT5G47970	AT5G47970	OG0005883
gene-AT5G47980	Athal_NC_003076.8:19428888-19430517	AT5G47980	AT5G47980	OG0015298
gene-AT5G47990	Athal_NC_003076.8:19434758-19436749	AT5G47990	CYP705A5	OG0000195
gene-AT5G48000	Athal_NC_003076.8:19444138-19447866	AT5G48000	CYP708A2	OG0005280
gene-AT5G48010	Athal_NC_003076.8:19456837-19461706	AT5G48010	THAS1	OG0015480
gene-AT5G48020	Athal_NC_003076.8:19462516-19464971	AT5G48020	AT5G48020	OG0005135
gene-AT5G48030	Athal_NC_003076.8:19465788-19469939	AT5G48030	GFA2	OG0006244
gene-AT5G48040	Athal_NC_003076.8:19469992-19472445	AT5G48040	AT5G48040	OG0013221
gene-AT5G48050	Athal_NC_003076.8:19472446-19473838	AT5G48050	AT5G48050	OG0000326
gene-AT5G48060	Athal_NC_003076.8:19475296-19479066	AT5G48060	AT5G48060	OG0003213
gene-AT5G48070	Athal_NC_003076.8:19481897-19483527	AT5G48070	XTH20	OG0006632
gene-AT5G48090	Athal_NC_003076.8:19484015-19488657	AT5G48090	ELP1	OG0004674
gene-AT5G48100	Athal_NC_003076.8:19489327-19492744	AT5G48100	TT10	OG0000547
gene-AT5G48110	Athal_NC_003076.8:19500988-19504534	AT5G48110	AT5G48110	OG0024740
gene-AT5G48120	Athal_NC_003076.8:19507397-19514895	AT5G48120	MET18	OG0007740
gene-AT5G48130	Athal_NC_003076.8:19516102-19518513	AT5G48130	AT5G48130	OG0013288
gene-AT5G48140	Athal_NC_003076.8:19518666-19520528	AT5G48140	AT5G48140	OG0000186
gene-AT5G48150	Athal_NC_003076.8:19522238-19524788	AT5G48150	PAT1	OG0001621
gene-AT5G48160	Athal_NC_003076.8:19527767-19530430	AT5G48160	OBE2	OG0005098
gene-AT5G48170	Athal_NC_003076.8:19532270-19533390	AT5G48170	SLY2	OG0011134
gene-AT5G48175	Athal_NC_003076.8:19539145-19540623	AT5G48175	AT5G48175	OG0024741
gene-AT5G48180	Athal_NC_003076.8:19540937-19542760	AT5G48180	NSP5	OG0017203
gene-AT5G48190	Athal_NC_003076.8:19542778-19544429	AT5G48190	AT5G48190	OG0021486
gene-AT5G48210	Athal_NC_003076.8:19548414-19549141	AT5G48210	AT5G48210	OG0021280
gene-AT5G48220	Athal_NC_003076.8:19549676-19552267	AT5G48220	AT5G48220	OG0006601
gene-AT5G48230	Athal_NC_003076.8:19552142-19555531	AT5G48230	ACAT2	OG0003245
gene-AT5G48240	Athal_NC_003076.8:19559201-19561374	AT5G48240	AT5G48240	OG0012441
gene-AT5G48250	Athal_NC_003076.8:19561319-19563832	AT5G48250	BBX8	OG0002281
gene-AT5G48270	Athal_NC_003076.8:19564422-19565968	AT5G48270	AT5G48270	OG0002728
gene-AT5G48280	Athal_NC_003076.8:19567064-19567688	AT5G48280	AT5G48280	NA
gene-AT5G48290	Athal_NC_003076.8:19568760-19569821	AT5G48290	AT5G48290	OG0000267
gene-AT5G48300	Athal_NC_003076.8:19570238-19572804	AT5G48300	ADG1	OG0006475
gene-AT5G48310	Athal_NC_003076.8:19574780-19580469	AT5G48310	AT5G48310	OG0008741
gene-AT5G48320	Athal_NC_003076.8:19581697-19584772	AT5G48320	AT5G48320	OG0001327
gene-AT5G48330	Athal_NC_003076.8:19585924-19587857	AT5G48330	RUG2	OG0011135
gene-AT5G48335	Athal_NC_003076.8:19587872-19589606	AT5G48335	AT5G48335	OG0007590
gene-AT5G48340	Athal_NC_003076.8:19590309-19593039	AT5G48340	AT5G48340	OG0012442
gene-AT5G48350	Athal_NC_003076.8:19593217-19594441	AT5G48350	AT5G48350	OG0013776
gene-AT5G48360	Athal_NC_003076.8:19595536-19598492	AT5G48360	AT5G48360	OG0019122
gene-AT5G48370	Athal_NC_003076.8:19598486-19600708	AT5G48370	AT5G48370	OG0003505
gene-AT5G48375	Athal_NC_003076.8:19601303-19603883	AT5G48375	TGG3	OG0014724
gene-AT5G48380	Athal_NC_003076.8:19604089-19607147	AT5G48380	BIR1	OG0003086
gene-AT5G48385	Athal_NC_003076.8:19608490-19612007	AT5G48385	AT5G48385	OG0006954
gene-AT5G48390	Athal_NC_003076.8:19612020-19615383	AT5G48390	AtSPO22	OG0009891
gene-AT5G48400	Athal_NC_003076.8:19616066-19619508	AT5G48400	ATGLR1.2	OG0002513
gene-AT5G48410	Athal_NC_003076.8:19620267-19623425	AT5G48410	GLR1.3	OG0002513
gene-AT5G48420	Athal_NC_003076.8:19626362-19626790	AT5G48420	AT5G48420	OG0005970
gene-AT5G48430	Athal_NC_003076.8:19627634-19629167	AT5G48430	AT5G48430	OG0001975
gene-AT5G48440	Athal_NC_003076.8:19629658-19632775	AT5G48440	AT5G48440	OG0008742
gene-AT5G48450	Athal_NC_003076.8:19632703-19635679	AT5G48450	sks3	OG0000829
gene-AT5G48460	Athal_NC_003076.8:19636045-19639529	AT5G48460	AT5G48460	OG0000650
gene-AT5G48470	Athal_NC_003076.8:19641744-19644362	AT5G48470	AT5G48470	OG0012443
gene-AT5G48480	Athal_NC_003076.8:19644539-19646840	AT5G48480	AT5G48480	OG0011137
gene-AT5G48485	Athal_NC_003076.8:19646028-19646840	AT5G48485	DIR1	OG0001468
gene-AT5G48490	Athal_NC_003076.8:19647784-19648362	AT5G48490	AT5G48490	OG0001468
gene-AT5G48500	Athal_NC_003076.8:19652980-19654355	AT5G48500	AT5G48500	OG0001853
gene-AT5G48510	Athal_NC_003076.8:19658080-19658938	AT5G48510	AT5G48510	OG0011779
gene-AT5G48515	Athal_NC_003076.8:19659857-19660201	AT5G48515	AT5G48515	OG0021487
gene-AT5G48520	Athal_NC_003076.8:19661203-19666436	AT5G48520	AUG3	OG0013412
